nombre_id,area,perimetro,ancho,altura,circularidad,feret,FeretAngle,min_feret,razon_aspecto,redondez,Solidity,esferoide,dia,diametro,poblacion_celular
Esferas_BT474_dia_0_well_2_100X_1_blob_8,874.1065,130.8776,25.8152,44.1576,0.6413,45.0321,78.6901,25.8152,1.9705,0.5075,0.8983,no,0,35.42365,7.202967322143303
Esferas_BT474_dia_0_well_2_100X_1_blob_9,633.658,109.275,22.4185,36.6848,0.6668,38.2612,106.5044,21.5709,1.9266,0.519,0.8994,no,0,29.91605,4.338546645447629
Esferas_BT474_dia_0_well_2_100X_1_blob_13,666.887,113.2828,40.0815,23.0978,0.653,40.4483,172.2782,21.5636,2.0904,0.4784,0.8939,no,0,31.00595,4.830217053851877
Esferas_BT474_dia_0_well_2_100X_1_blob_18,815.4943,119.2804,30.5707,40.0815,0.7203,42.0153,67.1663,25.113000000000003,1.8069,0.5534,0.909,no,0,33.564150000000005,6.127149538349973
Esferas_BT474_dia_0_well_2_100X_1_blob_19,684.4245,111.5262,30.5707,36.0054,0.6915,39.3905,122.3196,22.7189,1.8956,0.5275,0.8999,no,0,31.054700000000004,4.8530362390173005
Esferas_BT474_dia_0_well_2_100X_1_blob_22,566.7385,104.9658,23.0978,34.6467,0.6464,35.463,110.1707,20.9831,1.8957,0.5275,0.88,no,0,28.22305,3.642867333613583
Esferas_BT474_dia_0_well_2_100X_1_blob_25,652.1185,112.8849,23.0978,37.3641,0.6431,37.9767,100.3048,22.5456,1.9057,0.5248,0.8862,no,0,30.26115,4.490428697566582
Esferas_BT474_dia_0_well_2_100X_1_blob_29,812.2637,128.5581,41.4402,31.9293,0.6176,44.1576,22.6199,24.3051,2.0489,0.4881,0.8826,no,0,34.23135,6.499853987865112
Esferas_BT474_dia_0_well_2_100X_1_blob_32,516.8951,102.4815,33.9674,25.8152,0.6185,36.2163,23.1986,19.6797,2.1392,0.4675,0.8672,no,0,27.948,3.5373963520129847
Esferas_BT474_dia_0_well_2_100X_1_blob_38,628.5813,110.0026,36.0054,29.8913,0.6528,40.1333,146.0409,20.9143,2.1124,0.4734,0.8859,no,0,30.5238,4.608369755435367
Esferas_BT474_dia_0_well_2_100X_1_blob_44,741.6521,121.435,29.212,38.7228,0.632,41.0373,70.6652,23.2592,1.9137,0.5226,0.8918,no,0,32.148250000000004,5.383981150132438
Esferas_BT474_dia_0_well_2_100X_1_blob_46,474.4358,100.4918,33.288000000000004,21.0598,0.5904,33.7288,9.2726,21.0598,1.81,0.5525,0.861,no,0,27.3943,3.3312877080338623
Esferas_BT474_dia_0_well_2_100X_1_blob_47,588.4297,107.1204,36.0054,22.4185,0.6444,37.0727,13.7816,21.89,1.9526,0.5121,0.8873,no,0,29.48135,4.152155598762318
Esferas_BT474_dia_0_well_2_100X_1_blob_49,709.8077,111.3613,36.6848,31.9293,0.7193,40.6361,141.789,22.6101,1.9627,0.5095,0.9044,no,0,31.6231,5.124421493108387
